destination_id,month,temperature_mean,temperature_max_avg,temperature_min_avg,precipitation_daily_avg,sunshine_hours_avg,wind_speed_max_avg,precipitation_monthly_avg,rainy_days_avg,pleasant_temperature,temperature_distance,temperature_score,rain_score,sunshine_score,wind_score
BKK,1,26.60410557184751,31.315542521994136,22.21202346041056,0.7052785923753666,10.372509367872272,12.750439882697949,21.863636363636363,3.4545454545454546,True,1.6041055718475086,83.95894428152491,92.71212121212122,86.43757806560227,86.24780058651025
BKK,2,27.6508038585209,32.353697749196144,23.556591639871385,1.1504823151125405,10.589582261521972,14.512861736334406,32.52727272727273,5.363636363636363,True,2.6508038585208986,73.491961414791,89.15757575757576,88.24651884601643,77.43569131832797
BKK,3,29.22375366568915,33.522873900293256,25.919648093841644,1.4821114369501465,10.747107021831216,16.347214076246335,45.94545454545455,7.727272727272727,False,4.223753665689149,57.762463343108514,84.68484848484849,89.55922518192679,68.26392961876833
BKK,4,30.054242424242425,34.28151515151515,26.85030303030303,2.8039393939393937,10.89335053030303,16.39181818181818,84.11818181818181,11.181818181818182,False,5.054242424242425,49.45757575757575,71.96060606060607,90.77792108585858,68.0409090909091
BKK,5,29.641055718475076,33.52316715542522,26.71700879765396,5.389149560117303,10.029564100684262,15.478592375366569,167.06363636363633,20.0,False,4.6410557184750765,53.589442815249235,44.31212121212123,83.57970083903551,72.60703812316716
BKK,6,28.896363636363635,32.582424242424246,26.126666666666665,4.941818181818181,9.298666212121212,16.154545454545456,148.25454545454545,22.727272727272727,False,3.8963636363636347,61.03636363636365,50.581818181818186,77.4888851010101,69.22727272727272
BKK,7,28.17624633431085,31.59032258064516,25.681524926686212,6.364516129032259,7.874928152492669,16.22991202346041,197.3,24.727272727272727,False,3.17624633431085,68.2375366568915,34.23333333333332,65.62440127077224,68.85043988269794
BKK,8,28.060117302052785,31.59384164222874,25.511730205278592,6.02258064516129,7.925004097425871,15.828739002932553,186.7,25.0,False,3.0601173020527845,69.39882697947215,37.76666666666667,66.04170081188227,70.85630498533723
BKK,9,27.55212121212121,31.02363636363636,25.10151515151515,9.686363636363636,7.998478526936027,13.45121212121212,290.59090909090907,26.545454545454547,True,2.552121212121211,74.47878787878788,3.1363636363636545,66.65398772446689,82.7439393939394
BKK,10,27.255131964809383,30.849853372434016,24.483870967741936,7.62316715542522,8.868799853372433,11.795894428152494,236.3181818181818,21.90909090909091,True,2.255131964809383,77.44868035190618,21.227272727272734,73.90666544477028,91.02052785923753
